Region,iso3,Country,City,Year,Annual.mean,Temporal coverage,note on converted PM10,"Annual mean, ug/m3",Temporal coverage,note on converted PM2.5,Number and type of monitoring stations,Reference for air quality,Database version (year),status
Europe (LMIC),ALB,Albania,Korce,2015,45,>75%,Measured,30,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),ALB,Albania,Korce,2016,40,>75%,Measured,29,>75%,Measured,1 Suburban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),ALB,Albania,Tirana,2013,32,NA,Measured,16,NA,Measured,"1 station, traffic, urban","European Environment Agency, Air quality e-reporting database",2016,
Europe (LMIC),ALB,Albania,Vlore,2014,15,>75%,Measured,(10)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),ALB,Albania,Vlore,2015,19,>75%,Measured,(13)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),ALB,Albania,Vlore,2016,23,>75%,Measured,(15)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (LMIC),ALB,Albania,Vrith,2015,20,>75%,Measured,13,>75%,Measured,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AND,Andorra,Escaldes-Engordany,2012,28,>75%,Measured,(18)-converted value,NA,Converted,1 Urban-Background,The European Environmental Agency (EEA) [downloaded 2018/04/14],2018,
Europe (HIC),AND,Andorra,Escaldes-Engordany,2014,22,>75%,Measured,11,NA,Measured,1 Urban-Background,"Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),AND,Andorra,Escaldes-Engordany,2015,24,>75%,Measured,11,NA,Measured,1 Urban-Background,"Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),AND,Andorra,Escaldes-Engordany,2016,23,>75%,Measured,12,NA,Measured,1 Urban-Background,"Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat, The European Environmental Agency (EEA) [downloaded 2018/04/14]",2018,
Europe (HIC),AND,Andorra,Escaldes-Engordany,2017,19,NA,Measured,10,NA,Measured,,"Govern D'Andorra, Ministeri de Medi Ambient, Agricultura i Sostenibilitat",2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi,2011,158,NA,Measured,(65)-converted value,NA,Converted,"1 City Centre, 1 Industrial, 1 Road Side, 2 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi,2012,165,NA,Measured,(68)-converted value,NA,Converted,"1 City Centre, 2 Industrial, 1 Road Side, 2 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi,2013,144,NA,Measured,(59)-converted value,NA,Converted,"1 City Centre, 2 Industrial, 1 Road Side, 4 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi,2014,109,NA,Measured,(45)-converted value,NA,Converted,"1 City Centre, 2 Industrial, 1 Road Side, 4 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Abu Dhabi,2015,150,NA,Measured,(61)-converted value,NA,Converted,"1 City Centre, 2 Industrial, 1 Road Side, 4 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain,2011,140,NA,Measured,(58)-converted value,NA,Converted,"1 Road Side, 1 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain,2012,110,NA,Measured,(45)-converted value,NA,Converted,"1 City Centre, 1 Road Side, 2 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain,2013,127,NA,Measured,(52)-converted value,NA,Converted,"1 City Centre, 1 Regional Background, 1 Road Side, 3 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain,2014,98,NA,Measured,(40)-converted value,NA,Converted,"1 City Centre, 1 Regional Background, 1 Road Side, 3 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Ain,2015,122,NA,Measured,(50)-converted value,NA,Converted,"1 City Centre, 1 Regional Background, 1 Road Side, 3 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia,2011,160,NA,Measured,(66)-converted value,NA,Converted,"1 City Centre, 1 Regional Background, 1 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia,2012,179,NA,Measured,(74)-converted value,NA,Converted,"1 City Centre, 1 Regional Background, 1 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia,2013,126,NA,Measured,(52)-converted value,NA,Converted,"1 City Centre, 1 Industrial, 1 Regional Background, 1 Regional Background / Industrial, 1 Road Side, 1 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia,2014,111,NA,Measured,(46)-converted value,NA,Converted,"1 City Centre, 1 Industrial, 1 Regional Background, 1 Regional Background / Industrial, 1 Road Side, 1 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia,2015,153,NA,Measured,(63)-converted value,NA,Converted,"1 City Centre, 1 Industrial, 1 Regional Background, 1 Regional Background / Industrial, 1 Urban/ Residential",Environment Agency - Abu Dhabi,2018,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia - Bida Zayed,2013,146,NA,Measured,(62)-converted value,NA,Converted,"1 station, urban/residential","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia - Gayathi,2013,145,NA,Measured,(61)-converted value,NA,Converted,"1 station, urban","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,
Eastern Mediterranean (HIC),ARE,United Arab Emirates,Al Gharbia - Liwa Oasis,2013,133,NA,Measured,(56)-converted value,NA,Converted,"1 station, regional background","Emirate of Abu Dhabi, Environmental Statistics 2013, SCAD",2016,
Americas (LMIC),ARG,Argentina,Buenos Aires,2016,27,>75%,Measured,(12)-converted value,NA,Converted,3 N.A.,Agencia de Proteccion Ambiental,2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2012,17,>75%,Measured,7,>75%,Measured,"4 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2013,17,>75%,Measured,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2014,17,>75%,Measured,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
Western Pacific (HIC),AUS,Australia,Adelaide,2015,16,>75%,Measured,7,>75%,Measured,"5 Residential, 2 Residential/Industry",EPA South Australia,2018,
